ID,Number of tweets,URLs,User mentions,Output
3039154799,18,0,18,human
390617262,20,4,33,bot
4611389296,20,4,9,human
734396807745286145,20,3,16,human
1010978324569640960,20,0,50,bot
1012447780504326145,15,1,14,human
1012258265772720128,19,0,35,bot
968196446,20,0,23,human
1012049887947456512,16,0,16,bot
1011995299622064131,18,1,25,human
2890342662,19,1,23,human
720666928055001088,15,1,14,bot
1010968620866965506,18,1,22,bot
1704716070,19,2,17,human
1010610247789096960,18,3,26,bot
1154282738,20,0,29,bot
1012070142719774720,14,0,20,bot
883611156228825088,15,1,13,human
1011189105923784704,18,0,48,bot
1012089312794509312,19,1,24,human
1011238575399165959,20,0,29,human
406457303,20,1,37,human
959255458774122496,13,0,15,human
4655510439,20,1,39,human
3119392109,18,1,17,human
1010882400325431298,20,0,22,human
1010605695601963008,20,0,38,bot
809795080429142017,20,2,21,bot
1357959324,20,0,19,bot
1012132071073112064,19,0,31,bot
975703783475949568,19,0,25,bot
1001873627506233346,19,1,22,human
327555341,20,5,50,bot
1005146327523713024,20,2,5,human
1012607637026983936,20,2,61,bot
630459182,19,2,22,human
883724976158887938,20,1,32,bot
3007724008,20,5,39,bot
916187275133890565,18,3,31,bot
4034721759,19,3,32,bot
1459595030,20,0,22,bot
585091018,20,1,22,human
391505537,20,2,29,human
834490192954290178,19,0,17,bot
2363684405,20,5,17,human
4082476475,20,0,20,human
2982392825,20,8,32,bot
1063319761,20,1,42,human
2918674683,20,4,33,bot
728183118457384960,20,1,43,bot
1698808080,20,3,35,bot
1000351128389865477,19,3,21,human
901802279623417856,20,4,24,human
981636477292564480,20,2,30,bot
2298056467,20,2,17,human
585560662,20,0,20,human
550410719,20,8,45,bot
819902175619022849,20,1,16,human
329134629,20,0,0,bot
868185435293585410,19,1,27,human
1202102875,20,3,28,human
125072714,20,3,39,bot
202212121,20,5,36,bot
1244391379,20,12,20,human
3291561425,20,8,26,bot
824903248599355395,17,1,42,bot
825380362226429953,17,1,43,bot
1012063518659698690,20,0,21,human
830683244,20,11,18,human
4352856142,19,0,3,human
867072457215279104,19,0,28,human
831914104507990016,20,8,47,bot
1006066460,18,2,47,bot
868401085802852352,16,0,22,bot
425943636,20,3,40,human
2579632449,20,3,26,human
970583174349840384,20,0,25,human
4836438088,20,1,11,human
202305873,20,3,31,bot
971374169781882881,20,1,26,human
1244668758,20,6,26,human
1086442256,20,5,50,human
732212397654609920,20,8,46,bot
1123481,20,1,17,human
606417584,20,3,16,human
3500831,20,7,21,human
3070640794,20,2,38,bot
306412249,20,3,16,human
827909004923801600,20,2,60,bot
595356862,20,8,17,human
625712362,20,16,7,human
3407591541,20,0,67,bot
831165187994574850,20,1,38,bot
2918691515,20,2,39,bot
2837970855,20,4,23,bot
855102334875172866,20,16,21,bot
2992407304,20,16,4,human
996455315796262916,20,4,24,bot
461015426,20,2,50,bot
2323994683,20,4,46,bot
2896312810,20,3,24,bot
177548621,20,1,19,human
728911567589363712,20,3,27,human
2968800676,20,0,21,human
2217834630,20,1,20,human
845712063251054592,20,3,27,human
2982506153,20,2,39,bot
839937500101627904,19,12,34,bot
2799576867,20,0,24,human
1009859481214341120,19,7,21,human
974981520984346626,20,0,56,bot
979300010843168772,17,1,28,bot
231999899,20,2,23,bot
1362279283,20,9,20,human
4826949964,19,1,64,bot
2560586103,20,0,21,human
855136163849482240,19,3,24,bot
523625151,20,7,39,human
932924905,20,4,34,bot
486025962,20,5,16,human
2269447992,20,2,20,bot
327555253,18,3,40,bot
1002691095829057538,20,0,13,bot
548662037,20,4,48,bot
765890238946443264,20,2,22,human
825395422147522560,20,6,77,bot
4353158674,20,5,25,human
989748219776126978,9,2,12,human
905405149614624769,20,5,82,bot
966343682,20,9,55,bot
603005791,20,0,21,human
2939550185,20,5,26,human
1109829834,20,2,21,human
974977242165055488,20,2,23,human
840552254851678211,20,0,7,bot
2199622261,20,11,23,human
424907383,20,3,21,human
977928174582616064,20,6,37,human
327674514,18,1,41,bot
1331398375,20,3,21,human
333431378,20,0,22,human
825698658695905280,20,1,67,bot
554539740,20,2,39,bot
989116382611755009,18,3,17,human
729045489665052672,19,10,13,human
1011956312580804608,19,0,20,bot
2211763337,20,6,41,bot
782534791975563264,19,7,37,human
2797764234,20,8,44,bot
2339156160,20,0,19,bot
1011987366582603776,19,0,29,bot
2349112225,20,4,41,bot
755328987795165184,20,11,30,human
2998480923,20,6,31,bot
926532287675731976,20,0,20,bot
2998555053,20,7,31,bot
2982782446,20,8,32,bot
448110696,20,4,40,bot
2982546107,18,4,80,bot
911509904795545600,20,1,46,human
704820933027045376,20,2,24,human
700244333,20,0,20,human
826000575657549825,20,1,50,bot
950998000742141952,19,1,18,human
276497372,20,7,37,human
2982795550,20,4,33,bot
991332558,20,8,32,human
2976241827,19,1,25,human
489519253,20,2,23,human
3092010165,20,0,22,human
3290568658,19,2,23,bot
2982443524,20,6,36,bot
3224618207,20,3,22,human
573568763,19,1,26,human
838435964922052608,20,2,26,bot
2419259186,20,1,17,human
3122007425,20,1,20,human
1571230602,20,1,25,human
202206667,20,1,69,bot
2930775934,14,3,20,bot
812590099024199680,20,4,28,human
560954476,20,3,41,bot
423240463,20,3,52,bot
2385911950,20,2,58,human
797499926594908160,20,2,15,human
926348944686419968,20,3,24,human
1011723273057554438,19,0,16,human
1011975267915575297,14,0,22,bot
1012138187576180736,19,1,19,human
534504035,20,2,25,human
986192376241770499,20,0,20,human
1012302562660405248,19,0,49,bot
726108618051997696,19,4,22,human
2989418577,20,5,48,bot
972790109325099008,20,4,26,human
814176367,20,1,34,bot
1011716963498909696,19,2,52,human
893832219873206273,19,0,100,bot
883056345200635904,16,3,17,human
950483930003771392,20,6,41,bot
752099077756686336,20,0,28,human
831785890552877062,20,5,22,bot
2376525880,20,0,20,bot
2704478260,20,1,33,bot
278767989,20,20,30,human
3138084547,20,0,20,human
1122716048,20,5,25,human
1337678305,20,25,17,bot
761376188,20,1,14,human
1198843740,20,4,21,human
2364628874,20,6,19,human
1714082910,20,1,23,human
830818718703837187,19,3,44,bot
2982526985,19,2,58,bot
1449933242,20,6,20,human
1013118357925777409,20,1,23,human
741328501094121472,20,0,13,human
1260617916,20,9,31,human
2367002093,20,2,25,human
2976226983,20,5,23,human
561125828,20,4,28,bot
494889421,20,6,21,human
2905469547,20,0,13,human
1012332423290478593,18,1,27,human
55404019,20,14,18,human
554630722,20,1,62,bot
1006016766,20,1,67,bot
271466783,20,1,9,human
781523989793497088,19,0,23,bot
2772451794,18,1,54,bot
421858976,20,2,18,human
923265879449759744,20,0,24,human
951241980859830272,20,0,29,human
836505264706715649,20,2,18,human
972313916578713600,19,1,56,bot
3825988815,19,3,24,human
834243806899867648,20,4,47,bot
948982405838397441,19,1,57,bot
1183194624,20,4,22,bot
2998556339,20,5,44,bot
503680418,20,5,50,bot
132962832,20,6,25,human
456210073,17,1,55,bot
1268082668,19,1,21,human
922839841,20,5,17,bot
250624869,20,1,22,human
971039774726377474,20,4,21,human
595846370,20,5,33,bot
2985794427,20,9,30,bot
468385317,20,5,30,bot
2949953224,20,0,33,human
761296330903916545,20,0,20,human
1000029438233448448,19,7,20,human
717335652791107584,20,4,25,human
1006938498811809793,20,2,21,human
524420458,20,7,42,bot
1012110155553570816,16,0,37,bot
1011632355419844608,19,1,50,bot
548914113,20,7,48,bot
963823970507214848,20,14,30,bot
2996584924,20,4,33,bot
993286910650015744,17,5,26,human
825402582579412992,20,0,62,bot
2996521607,20,3,20,human
2535033852,20,0,20,bot
2862813495,13,1,15,human
942158304725295104,20,2,27,bot
834889075337400320,20,2,35,bot
2919429628,19,11,33,bot
1011334857966931968,18,0,26,human
1924501530,20,3,33,bot
560604863,20,0,40,bot
3017654309,20,0,53,bot
1003160464543510528,15,1,37,human
2729708935,20,0,23,human
866147862,20,1,23,human
549384602,20,3,22,bot
987694134529052672,20,0,20,bot
4839898869,19,0,18,human
1011913641548009472,20,0,19,human
53002473,20,13,60,human
2413775282,20,2,18,human
3031331457,20,2,18,human
561480213,20,2,18,human
1301400318,20,0,24,human
549173992,20,4,33,bot
3102059566,19,1,55,bot
197284836,20,12,21,human
1050774624,20,9,19,human
876795381841100801,20,10,3,bot
1005568886098550785,20,6,13,human
944701467839094784,18,8,32,bot
3102658995,20,2,23,human
2363390223,20,4,22,human
910893710308724743,19,2,20,human
850371251277352960,20,3,30,human
923565203253579776,20,0,53,bot
1069206085,17,1,25,human
326826176,20,5,26,human
968459856,20,3,24,human
2950692315,19,0,60,bot
932243210277130240,20,0,62,bot
437486455,20,3,27,human
627733507,20,1,30,bot
856380782847422464,20,8,20,human
3107788774,20,0,59,bot
847497841,20,1,44,human
412155718,20,3,22,human
136653194,20,8,31,human
133460400,20,4,21,human
753659579582541824,20,1,41,bot
186977143,20,6,15,human
58165167,20,1,21,bot
2984109993,20,7,25,bot
856884030,20,1,24,human
299365630,20,5,29,human
769392715,20,1,17,human
963118390876491776,20,0,23,bot
990324412841889798,20,2,38,bot
422924590,20,2,24,bot
822162132863160321,19,1,33,bot
757515891403788288,20,2,62,human
2264615275,20,0,15,human
784806259052666880,19,0,51,bot
788038456274522112,20,0,55,bot
826008852567031808,20,1,51,bot
434217283,20,3,18,human
415107191,20,9,20,human
969646849228525574,20,0,22,bot
2918732806,20,4,42,bot
548764543,18,5,34,bot
825700436766314497,19,9,37,bot
1006252077536997377,20,8,21,human
816718293142740992,20,8,32,human
902535078,20,0,26,human
2920996798,19,5,33,bot
396024657,19,3,38,bot
1064261450,20,10,27,human
504476597,20,7,24,human
825731362179149824,20,1,48,bot
826850430185590786,20,1,60,bot
2949925353,20,5,45,bot
2780612193,20,4,14,bot
1011923110617116672,14,5,20,human
422947897,20,4,43,bot
1011952811674828800,20,3,16,bot
759150086756589568,20,0,10,bot
702878730,20,0,19,human
822123492216897540,20,3,25,bot
2982486513,17,1,43,bot
4701456854,20,1,42,human
51703470,20,3,19,human
804074275376431105,20,5,33,bot
2918711542,20,2,41,bot
808272326324342785,20,6,36,human
898599853546242048,20,3,19,human
2920497934,20,2,33,bot
358795296,20,15,15,human
1012147848496869376,20,2,37,bot
1011940333389836288,19,0,38,bot
897538992345927680,20,6,36,bot
979117618295656450,17,3,39,bot
995292937662664704,20,2,21,human
2672479163,20,2,21,human
785397318,20,15,16,human
518642028,20,1,34,bot
135547288,20,1,25,human
873916630828494848,20,7,7,bot
2985880540,20,2,38,bot
193317159,20,3,22,human
979783776489353216,20,0,27,human
1012295892718751747,19,0,18,human
1012294396526710784,20,3,28,human
2767540864,15,1,25,human
25851958,20,4,19,human
825436422609969152,20,1,49,bot
831161868614004741,20,1,42,bot
202339780,20,4,54,bot
438798142,20,2,20,human
1064122518,20,0,20,human
835202996585787392,19,0,50,bot
994684151046524928,20,1,23,human
4297819397,20,0,14,human
703315728766730240,19,0,19,human
302125749,20,8,10,bot
184810052,20,4,10,bot
165051584,20,9,11,human
3035505075,19,1,18,bot
3489637217,20,0,18,bot
893090869,19,1,13,bot
940196016409731072,20,7,20,human
3304132186,20,4,78,bot
45394510,20,8,39,human
502749635,20,4,38,human
2962604531,20,3,21,human
2237617592,20,0,21,human
822108222353981442,20,1,46,bot
2983905783,19,1,60,bot
1000463684945240064,20,0,24,human
615539623,20,6,15,human
827628152411262976,20,5,11,bot
922835518756474880,20,14,11,human
442096443,20,0,21,human
1886073978,20,3,46,bot
840241477,20,6,24,human
3223929605,20,5,26,human
3031628369,20,9,41,bot
2591240449,18,5,52,bot
2918679371,20,10,41,bot
548707617,20,1,62,bot
2919471316,19,5,43,bot
945431358,20,17,19,human
761487243353743360,20,1,15,human
2984398203,19,4,44,bot
276026459,20,14,9,human
2181109997,20,5,22,human
824224632467312642,18,0,21,bot
4548516682,16,3,46,bot
617000584,20,2,20,human
2617299705,17,0,13,human
2764705943,20,0,20,bot
4149019083,20,0,20,bot
1013753576,20,0,20,human
3419845179,19,6,19,bot
1004423026027520001,20,1,10,human
22009205,20,4,26,human
617171996,20,2,27,human
2982584363,20,1,32,bot
825717413689835521,19,2,41,bot
4908982317,20,4,16,human
2984381056,19,4,39,bot
2350026720,20,4,25,bot
2158759025,20,3,43,bot
2983182773,18,0,80,bot
201197015,20,0,66,bot
3346645053,19,0,50,bot
517747193,20,0,26,human
32604352,20,0,0,bot
561948464,19,3,35,bot
202588307,20,2,27,bot
162672772,20,1,25,bot
2864751126,20,7,38,human
2240552686,20,1,26,human
1092509449,18,3,16,human
50265477,20,4,23,human
407609289,20,0,21,human
4490976615,20,1,51,human
831131341253124096,20,8,46,bot
4580699608,19,2,28,bot
20432064,20,6,15,human
1718499800,20,0,19,human
1379007452,20,5,13,human
327894673,19,1,25,bot
202361176,19,6,35,bot
