Index,ID,Number of tweets,URLs,User mentions,Output
0,3039154799.0,18.0,0.0,18.0,human
1,390617262.0,20.0,4.0,33.0,bot
2,4611389296.0,20.0,4.0,9.0,human
3,7.343968077452861e+17,20.0,4.0,16.0,human
4,1.010978324569641e+18,20.0,0.0,50.0,bot
5,1.0124477805043261e+18,15.0,1.0,14.0,human
6,1.0122582657727201e+18,19.0,0.0,35.0,bot
7,968196446.0,20.0,0.0,23.0,human
8,1.0120498879474565e+18,16.0,0.0,16.0,bot
9,1.0119952996220641e+18,18.0,1.0,25.0,human
10,2890342662.0,19.0,1.0,21.0,human
11,7.206669280550011e+17,15.0,1.0,14.0,bot
12,1.0109686208669655e+18,18.0,1.0,22.0,bot
13,1704716070.0,19.0,2.0,17.0,human
14,1.010610247789097e+18,18.0,3.0,26.0,bot
15,1154282738.0,20.0,0.0,29.0,bot
16,1.0120701427197747e+18,14.0,0.0,20.0,bot
17,8.836111562288251e+17,15.0,1.0,13.0,human
18,1.0111891059237847e+18,18.0,0.0,48.0,bot
19,1.0120893127945093e+18,19.0,1.0,24.0,human
20,1.011238575399166e+18,20.0,0.0,29.0,human
21,406457303.0,20.0,1.0,37.0,human
22,9.592554587741225e+17,13.0,0.0,15.0,human
23,4655510439.0,20.0,1.0,39.0,human
24,3119392109.0,18.0,1.0,17.0,human
25,1.0108824003254313e+18,20.0,0.0,22.0,human
26,1.010605695601963e+18,20.0,0.0,38.0,bot
27,8.09795080429142e+17,20.0,2.0,21.0,bot
28,1357959324.0,20.0,0.0,19.0,bot
29,1.012132071073112e+18,19.0,0.0,31.0,bot
30,,,,,
31,9.757037834759496e+17,19.0,0.0,25.0,bot
32,1.0018736275062333e+18,19.0,1.0,22.0,human
33,327555341.0,20.0,5.0,50.0,bot
34,1.005146327523713e+18,20.0,2.0,5.0,human
35,1.012607637026984e+18,20.0,2.0,61.0,bot
36,,,,,
37,630459182.0,19.0,2.0,22.0,human
38,8.83724976158888e+17,20.0,1.0,32.0,bot
39,3007724008.0,20.0,5.0,39.0,bot
40,9.161872751338906e+17,18.0,3.0,31.0,bot
41,4034721759.0,19.0,3.0,32.0,bot
42,1459595030.0,20.0,0.0,22.0,bot
43,585091018.0,20.0,1.0,22.0,human
44,391505537.0,20.0,2.0,29.0,human
45,8.344901929542902e+17,19.0,0.0,17.0,bot
46,2363684405.0,20.0,5.0,17.0,human
47,4082476475.0,20.0,0.0,20.0,human
48,2982392825.0,20.0,8.0,32.0,bot
49,1063319761.0,20.0,1.0,42.0,human
50,2918674683.0,20.0,4.0,33.0,bot
51,7.28183118457385e+17,20.0,1.0,43.0,bot
52,1698808080.0,20.0,3.0,35.0,bot
53,1.0003511283898655e+18,19.0,3.0,21.0,human
54,9.018022796234179e+17,20.0,4.0,24.0,human
55,9.816364772925645e+17,20.0,2.0,30.0,bot
56,2298056467.0,20.0,2.0,17.0,human
57,585560662.0,20.0,0.0,20.0,human
58,,,,,
59,550410719.0,20.0,8.0,45.0,bot
60,8.199021756190228e+17,20.0,1.0,16.0,human
61,329134629.0,20.0,0.0,0.0,bot
62,,,,,
63,8.681854352935854e+17,19.0,1.0,27.0,human
64,1202102875.0,20.0,3.0,28.0,human
65,125072714.0,20.0,3.0,39.0,bot
66,202212121.0,20.0,5.0,36.0,bot
67,1244391379.0,20.0,12.0,20.0,human
68,3291561425.0,20.0,8.0,26.0,bot
69,8.249032485993554e+17,17.0,1.0,42.0,bot
70,8.2538036222643e+17,17.0,1.0,43.0,bot
71,1.0120635186596987e+18,20.0,0.0,21.0,human
72,830683244.0,20.0,11.0,18.0,human
73,4352856142.0,19.0,0.0,3.0,human
74,8.670724572152791e+17,19.0,0.0,28.0,human
75,8.3191410450799e+17,20.0,8.0,47.0,bot
76,1006066460.0,18.0,2.0,47.0,bot
77,8.684010858028524e+17,16.0,0.0,22.0,bot
78,425943636.0,20.0,3.0,40.0,human
79,2579632449.0,20.0,3.0,26.0,human
80,9.705831743498404e+17,20.0,0.0,25.0,human
81,4836438088.0,20.0,1.0,11.0,human
82,202305873.0,20.0,3.0,31.0,bot
83,9.713741697818829e+17,20.0,1.0,26.0,human
84,1244668758.0,20.0,6.0,26.0,human
85,1086442256.0,20.0,5.0,50.0,human
86,7.322123976546099e+17,20.0,8.0,46.0,bot
87,1123481.0,20.0,1.0,17.0,human
88,606417584.0,20.0,3.0,16.0,human
89,3500831.0,20.0,7.0,21.0,human
90,3070640794.0,20.0,2.0,38.0,bot
91,306412249.0,20.0,3.0,16.0,human
92,8.279090049238016e+17,20.0,2.0,60.0,bot
93,595356862.0,20.0,8.0,17.0,human
94,625712362.0,20.0,15.0,6.0,human
95,3407591541.0,20.0,0.0,67.0,bot
96,8.311651879945748e+17,20.0,1.0,38.0,bot
97,2918691515.0,20.0,2.0,39.0,bot
98,2837970855.0,20.0,4.0,23.0,bot
99,8.551023348751729e+17,20.0,16.0,21.0,bot
100,2992407304.0,20.0,16.0,4.0,human
101,9.964553157962629e+17,20.0,4.0,24.0,bot
102,461015426.0,20.0,2.0,50.0,bot
103,2323994683.0,20.0,4.0,46.0,bot
104,2896312810.0,20.0,3.0,24.0,bot
105,177548621.0,20.0,1.0,19.0,human
106,7.289115675893637e+17,20.0,3.0,27.0,human
107,2968800676.0,20.0,0.0,21.0,human
108,2217834630.0,20.0,1.0,20.0,human
109,8.457120632510546e+17,20.0,3.0,27.0,human
110,2982506153.0,20.0,2.0,39.0,bot
111,8.399375001016279e+17,19.0,12.0,34.0,bot
112,2799576867.0,20.0,0.0,24.0,human
113,1.0098594812143411e+18,19.0,7.0,21.0,human
114,9.749815209843466e+17,20.0,0.0,56.0,bot
115,9.793000108431688e+17,17.0,1.0,28.0,bot
116,231999899.0,20.0,2.0,23.0,bot
117,1362279283.0,20.0,9.0,20.0,human
118,4826949964.0,19.0,1.0,64.0,bot
119,2560586103.0,20.0,0.0,21.0,human
120,8.551361638494822e+17,19.0,3.0,24.0,bot
121,523625151.0,20.0,12.0,22.0,human
122,932924905.0,20.0,4.0,34.0,bot
123,486025962.0,20.0,5.0,16.0,human
124,2269447992.0,20.0,2.0,20.0,bot
125,327555253.0,18.0,3.0,40.0,bot
126,1.0026910958290575e+18,20.0,0.0,13.0,bot
127,548662037.0,20.0,4.0,48.0,bot
128,7.658902389464433e+17,20.0,2.0,22.0,human
129,8.253954221475226e+17,20.0,6.0,77.0,bot
130,4353158674.0,20.0,5.0,25.0,human
131,9.89748219776127e+17,9.0,2.0,12.0,human
132,,,,,
133,9.054051496146248e+17,20.0,5.0,82.0,bot
134,966343682.0,20.0,9.0,55.0,bot
135,603005791.0,20.0,0.0,21.0,human
136,2939550185.0,20.0,5.0,26.0,human
137,1109829834.0,20.0,1.0,20.0,human
138,9.749772421650555e+17,20.0,2.0,23.0,human
139,,,,,
140,8.405522548516782e+17,20.0,0.0,8.0,bot
141,2199622261.0,20.0,9.0,23.0,human
142,424907383.0,20.0,3.0,21.0,human
143,,,,,
144,9.77928174582616e+17,20.0,6.0,37.0,human
145,327674514.0,18.0,1.0,41.0,bot
146,1331398375.0,20.0,3.0,21.0,human
147,333431378.0,20.0,0.0,22.0,human
148,8.256986586959053e+17,20.0,1.0,67.0,bot
149,,,,,
150,554539740.0,20.0,2.0,39.0,bot
151,9.89116382611755e+17,18.0,3.0,17.0,human
152,7.290454896650527e+17,19.0,10.0,13.0,human
153,1.0119563125808046e+18,19.0,0.0,20.0,bot
154,2211763337.0,20.0,6.0,41.0,bot
155,7.825347919755633e+17,19.0,7.0,37.0,human
156,2797764234.0,20.0,8.0,44.0,bot
157,2339156160.0,20.0,0.0,19.0,bot
158,,,,,
159,1.0119873665826038e+18,19.0,0.0,29.0,bot
160,,,,,
161,2349112225.0,20.0,4.0,41.0,bot
162,7.553289877951652e+17,20.0,11.0,30.0,human
163,2998480923.0,20.0,6.0,31.0,bot
164,9.26532287675732e+17,20.0,0.0,20.0,bot
165,2998555053.0,20.0,7.0,31.0,bot
166,2982782446.0,20.0,8.0,32.0,bot
167,448110696.0,20.0,4.0,40.0,bot
168,2982546107.0,18.0,4.0,80.0,bot
169,9.115099047955456e+17,20.0,1.0,46.0,human
170,7.048209330270454e+17,20.0,2.0,23.0,human
171,700244333.0,20.0,0.0,20.0,human
172,8.260005756575498e+17,20.0,1.0,50.0,bot
173,9.50998000742142e+17,19.0,1.0,18.0,human
174,276497372.0,20.0,7.0,37.0,human
175,2982795550.0,20.0,4.0,33.0,bot
176,991332558.0,20.0,8.0,32.0,human
177,2976241827.0,19.0,1.0,25.0,human
178,489519253.0,20.0,2.0,23.0,human
179,3092010165.0,20.0,0.0,22.0,human
180,3290568658.0,19.0,2.0,23.0,bot
181,2982443524.0,20.0,6.0,36.0,bot
182,3224618207.0,20.0,3.0,22.0,human
183,573568763.0,19.0,1.0,26.0,human
184,8.384359649220526e+17,20.0,2.0,26.0,bot
185,2419259186.0,20.0,1.0,17.0,human
186,3122007425.0,20.0,1.0,20.0,human
187,1571230602.0,20.0,1.0,25.0,human
188,202206667.0,20.0,1.0,69.0,bot
189,2930775934.0,14.0,3.0,20.0,bot
190,8.125900990241997e+17,20.0,4.0,28.0,human
191,560954476.0,20.0,3.0,41.0,bot
192,423240463.0,20.0,3.0,52.0,bot
193,2385911950.0,20.0,2.0,58.0,human
194,,,,,
195,7.974999265949082e+17,20.0,2.0,15.0,human
196,9.2634894468642e+17,20.0,2.0,28.0,human
197,,,,,
198,1.0117232730575544e+18,19.0,0.0,16.0,human
199,1.0119752679155753e+18,14.0,0.0,22.0,bot
200,1.0121381875761807e+18,19.0,1.0,19.0,human
201,534504035.0,20.0,4.0,20.0,human
202,9.861923762417705e+17,20.0,0.0,20.0,human
203,1.0123025626604052e+18,19.0,0.0,49.0,bot
204,7.261086180519977e+17,19.0,4.0,22.0,human
205,2989418577.0,20.0,5.0,48.0,bot
206,9.72790109325099e+17,20.0,4.0,26.0,human
207,814176367.0,20.0,1.0,34.0,bot
208,1.0117169634989097e+18,19.0,2.0,51.0,human
209,8.938322198732063e+17,19.0,0.0,100.0,bot
210,,,,,
211,8.830563452006359e+17,16.0,3.0,17.0,human
212,9.504839300037714e+17,20.0,6.0,41.0,bot
213,7.520990777566863e+17,20.0,0.0,28.0,human
214,8.31785890552877e+17,20.0,5.0,22.0,bot
215,2376525880.0,20.0,0.0,20.0,bot
216,2704478260.0,20.0,1.0,33.0,bot
217,278767989.0,20.0,20.0,30.0,human
218,3138084547.0,20.0,0.0,20.0,human
219,1122716048.0,20.0,5.0,25.0,human
220,1337678305.0,20.0,25.0,17.0,bot
221,761376188.0,20.0,1.0,14.0,human
222,1198843740.0,20.0,4.0,21.0,human
223,2364628874.0,20.0,6.0,19.0,human
224,1714082910.0,20.0,1.0,23.0,human
225,8.308187187038372e+17,19.0,3.0,44.0,bot
226,2982526985.0,19.0,2.0,58.0,bot
227,1449933242.0,20.0,6.0,20.0,human
228,1.0131183579257774e+18,20.0,1.0,23.0,human
229,7.413285010941215e+17,20.0,0.0,13.0,human
230,1260617916.0,20.0,9.0,31.0,human
231,,,,,
232,2367002093.0,20.0,2.0,25.0,human
233,2976226983.0,20.0,5.0,23.0,human
234,561125828.0,20.0,4.0,28.0,bot
235,494889421.0,20.0,6.0,21.0,human
236,,,,,
237,,,,,
238,,,,,
239,,,,,
240,,,,,
241,,,,,
242,,,,,
243,,,,,
244,,,,,
245,,,,,
246,,,,,
247,,,,,
248,,,,,
249,,,,,
250,,,,,
251,,,,,
252,,,,,
253,,,,,
254,,,,,
255,,,,,
256,,,,,
257,,,,,
258,,,,,
259,,,,,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,,,,,
265,,,,,
266,,,,,
267,,,,,
268,,,,,
269,,,,,
270,,,,,
271,,,,,
272,,,,,
273,,,,,
274,,,,,
275,,,,,
276,,,,,
277,,,,,
278,,,,,
279,,,,,
280,,,,,
281,,,,,
282,,,,,
283,,,,,
284,,,,,
285,,,,,
286,,,,,
287,,,,,
288,,,,,
289,,,,,
290,,,,,
291,,,,,
292,,,,,
293,,,,,
294,,,,,
295,,,,,
296,,,,,
297,,,,,
298,,,,,
299,,,,,
300,,,,,
301,,,,,
302,,,,,
303,,,,,
304,,,,,
305,,,,,
306,,,,,
307,,,,,
308,,,,,
309,,,,,
310,,,,,
311,,,,,
312,,,,,
313,,,,,
314,,,,,
315,,,,,
316,,,,,
317,,,,,
318,,,,,
319,,,,,
320,,,,,
321,,,,,
322,,,,,
323,,,,,
324,,,,,
325,,,,,
326,,,,,
327,,,,,
328,,,,,
329,,,,,
330,,,,,
331,,,,,
332,,,,,
333,,,,,
334,,,,,
335,,,,,
336,,,,,
337,,,,,
338,,,,,
339,,,,,
340,,,,,
341,,,,,
342,,,,,
343,,,,,
344,,,,,
345,,,,,
346,,,,,
347,,,,,
348,,,,,
349,,,,,
350,,,,,
351,,,,,
352,,,,,
353,,,,,
354,,,,,
355,,,,,
356,,,,,
357,,,,,
358,,,,,
359,,,,,
360,,,,,
361,,,,,
362,,,,,
363,,,,,
364,,,,,
365,,,,,
366,,,,,
367,,,,,
368,,,,,
369,,,,,
370,,,,,
371,,,,,
372,,,,,
373,,,,,
374,,,,,
375,,,,,
376,,,,,
377,,,,,
378,,,,,
379,,,,,
380,,,,,
381,,,,,
382,,,,,
383,,,,,
384,,,,,
385,,,,,
386,,,,,
387,,,,,
388,,,,,
389,,,,,
390,,,,,
391,,,,,
392,,,,,
393,,,,,
394,,,,,
395,,,,,
396,,,,,
397,,,,,
398,,,,,
399,,,,,
400,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,,,,,
429,,,,,
430,,,,,
431,,,,,
432,,,,,
433,,,,,
434,,,,,
435,,,,,
436,,,,,
437,,,,,
438,,,,,
439,,,,,
440,,,,,
441,,,,,
442,,,,,
443,,,,,
444,,,,,
445,,,,,
446,,,,,
447,,,,,
448,,,,,
449,,,,,
450,,,,,
451,,,,,
452,,,,,
453,,,,,
454,,,,,
455,,,,,
456,,,,,
457,,,,,
458,,,,,
459,,,,,
460,,,,,
461,,,,,
462,,,,,
463,,,,,
464,,,,,
465,,,,,
466,,,,,
467,,,,,
468,,,,,
469,,,,,
470,,,,,
471,,,,,
472,,,,,
473,,,,,
474,,,,,
475,,,,,
476,,,,,
477,,,,,
478,,,,,
479,,,,,
480,,,,,
481,,,,,
482,,,,,
483,,,,,
484,,,,,
485,,,,,
486,,,,,
487,,,,,
488,,,,,
489,,,,,
490,,,,,
491,,,,,
492,,,,,
493,,,,,
494,,,,,
495,,,,,
496,,,,,
497,,,,,
498,,,,,
499,,,,,
500,,,,,
501,,,,,
502,,,,,
503,,,,,
504,,,,,
505,,,,,
506,,,,,
507,,,,,
508,,,,,
509,,,,,
