Ids	Friends	Followers	rf	Label
390617262	391	286	0.4224519941	bot
4611389296	194	205	0.5137844612	human
7.34E+17	396	200	0.3355704698	human
1.01E+18	23	10	0.303030303	bot
1.01E+18	1106	341	0.2356599862	human
1.01E+18	21	11	0.34375	bot
968196446	272	141	0.3414043584	human
1.01E+18	1	2	0.6666666667	bot
1.01E+18	53	13	0.196969697	human
2890342662	236	647	0.7327293318	human
7.21E+17	16	26	0.619047619	bot
1.01E+18	5	11	0.6875	bot
1704716070	464	136	0.2266666667	human
1.01E+18	420	224	0.347826087	bot
1154282738	886	345	0.2802599513	bot
1.01E+18	3	16	0.8421052632	bot
8.84E+17	975	772	0.4419004007	human
1.01E+18	39	56	0.5894736842	bot
1.01E+18	48	20	0.2941176471	human
1.01E+18	20	11	0.3548387097	human
406457303	2114	1821	0.4627700127	human
9.59E+17	0	93	1	human
4655510439	441	193	0.3044164038	human
3119392109	1498	1299	0.4644261709	human
1.01E+18	41	18	0.3050847458	human
1.01E+18	2	7	0.7777777778	bot
8.10E+17	16	16	0.5	bot
1357959324	504	490	0.4929577465	bot
1.01E+18	83	53	0.3897058824	bot
2334131662	235	192	0.4496487119	bot
9.76E+17	97	33	0.2538461538	bot
1.00E+18	53	18	0.2535211268	human
327555341	223	622	0.7360946746	bot
1.01E+18	564	212	0.2731958763	human
1.01E+18	10	6	0.375	bot
8.20E+17	219	4	0.0179372197	bot
630459182	1199	576	0.3245070423	human
8.84E+17	231	103	0.3083832335	bot
3007724008	7	13	0.65	bot
9.16E+17	26	21	0.4468085106	bot
4034721759	449	460	0.5060506051	bot
1459595030	169	20	0.1058201058	bot
585091018	773	592	0.4336996337	human
391505537	922	296	0.2430213465	human
8.34E+17	23	19	0.4523809524	bot
2363684405	118	446	0.7907801418	human
4082476475	1771	388	0.17971283	human
2982392825	345	265	0.4344262295	bot
1063319761	93088	100685	0.5196028342	human
2918674683	404	301	0.4269503546	bot
7.28E+17	595	258	0.3024618992	bot
1698808080	148	165	0.5271565495	bot
1.00E+18	612	495	0.4471544715	human
9.02E+17	370	297	0.4452773613	human
9.82E+17	152	14	0.0843373494	bot
2298056467	436	467	0.5171650055	human
585560662	565	314	0.3572241183	human
4821863061	2812	669	0.1921861534	human
550410719	273	362	0.5700787402	bot
8.20E+17	494	4003	0.8901489882	human
329134629	267	215	0.4460580913	bot
563771096	1123	493	0.3050742574	bot
8.68E+17	101	51	0.3355263158	human
1202102875	376	278	0.4250764526	human
125072714	21	2460	0.9915356711	bot
202212121	90	755	0.8934911243	bot
1244391379	570	1418	0.7132796781	human
3291561425	248	217	0.4666666667	bot
8.25E+17	86	173	0.667953668	bot
8.25E+17	77	127	0.6225490196	bot
1.01E+18	24	25	0.5102040816	human
830683244	277	2842	0.9111894838	human
4352856142	284	207	0.4215885947	human
8.67E+17	49	9	0.1551724138	human
8.32E+17	42	84	0.6666666667	bot
1006066460	1249	691	0.356185567	bot
8.68E+17	33	27	0.45	bot
425943636	203	178315	0.9988628598	human
2579632449	525	72	0.1206030151	human
9.71E+17	377	59	0.1353211009	human
4836438088	472	915	0.6596971882	human
202305873	67	205	0.7536764706	bot
9.71E+17	26	46	0.6388888889	human
1244668758	1636	521	0.2415391748	human
1086442256	999	2367	0.7032085561	human
7.32E+17	46	10	0.1785714286	bot
1123481	2450	2063	0.4571238644	human
606417584	33115	79903	0.7069935762	human
3500831	1631	1964	0.5463143255	human
3070640794	626	310	0.3311965812	bot
306412249	1730	1106	0.3899858956	human
8.28E+17	462	186	0.287037037	bot
595356862	316	385	0.5492154066	human
625712362	1799	2461	0.5776995305	human
3407591541	52	139	0.7277486911	bot
8.31E+17	574	289	0.3348783314	bot
2918691515	432	323	0.4278145695	bot
2837970855	1931	4704	0.7089675961	bot
8.55E+17	1	1	0.5	bot
2992407304	18924	18890	0.4995504311	human
9.96E+17	27	28	0.5090909091	bot
461015426	746	1134	0.6031914894	bot
2323994683	684	492	0.4183673469	bot
2896312810	427	347	0.4483204134	bot
177548621	1402	286	0.1694312796	human
7.29E+17	937	469	0.3335704125	human
2968800676	199	227	0.5328638498	human
2217834630	932	1680	0.6431852986	human
8.46E+17	199	33	0.1422413793	human
2982506153	158	219	0.5809018568	bot
8.40E+17	304	106	0.2585365854	bot
2799576867	1546	389	0.2010335917	human
1.01E+18	41	17	0.2931034483	human
9.75E+17	172	43	0.2	bot
9.79E+17	67	12	0.1518987342	bot
231999899	169	897	0.8414634146	bot
1362279283	575	421	0.4226907631	human
4826949964	651	334	0.3390862944	bot
2560586103	1527	291	0.1600660066	human
8.55E+17	100	59	0.3710691824	bot
523625151	2178	820	0.2735156771	human
932924905	16	79	0.8315789474	bot
486025962	183	375	0.6720430108	human
2269447992	495	427	0.4631236443	bot
327555253	812	740	0.4768041237	bot
1.00E+18	5686	7035	0.5530225611	bot
548662037	843	958	0.5319267074	bot
7.66E+17	188	198	0.5129533679	human
8.25E+17	527	342	0.3935558113	bot
4353158674	573	689	0.5459587956	human
9.90E+17	218	229	0.5123042506	human
9.83E+17	50	249	0.8327759197	human
9.05E+17	436	127	0.2255772647	bot
966343682	640	630	0.4960629921	bot
603005791	1249	709	0.3621041879	human
2939550185	226	461	0.6710334789	human
1109829834	1760	5926	0.77101223	human
9.75E+17	379	444	0.5394896719	human
590292527	191	51	0.2107438017	human
8.41E+17	1	171	0.9941860465	bot
2199622261	157	245	0.6094527363	human
424907383	1741	3765	0.6837994915	human
4818612196	2758	4820	0.6360517287	human
9.78E+17	55	212	0.7940074906	human
327674514	1096	364	0.2493150685	bot
1331398375	800	579	0.4198694706	human
333431378	4920	507	0.09342178	human
8.26E+17	844	303	0.2641673932	bot
1367800687	456	152	0.25	human
554539740	323	411	0.5599455041	bot
9.89E+17	6	10	0.625	human
7.29E+17	602	378	0.3857142857	human
1.01E+18	58	23	0.2839506173	bot
2211763337	606	430	0.4150579151	bot
7.83E+17	187	240	0.5620608899	human
2797764234	146	496	0.7725856698	bot
2339156160	1189	1390	0.5389685925	bot
721817054	264	629	0.7043673012	human
